DateTime,Ask,Bid,Ask Volume,Bid Volume
15.09.2023 09:01:36.261,1.06653,1.06652,0,0
15.09.2023 09:01:36.489,1.06653,1.06651,0,0
15.09.2023 09:01:37.375,1.06652,1.0665,0,0
15.09.2023 09:01:37.478,1.06653,1.06651,0,0
15.09.2023 09:01:38.749,1.06652,1.0665,0,0
15.09.2023 09:01:39.165,1.06653,1.06651,0,0
15.09.2023 09:01:41.148,1.06652,1.0665,0,0
15.09.2023 09:01:44.413,1.06653,1.06651,0,0
15.09.2023 09:01:44.516,1.06654,1.06651,0,0
15.09.2023 09:01:49.590,1.06653,1.06651,0,0
15.09.2023 09:01:51.733,1.06651,1.0665,0,0
15.09.2023 09:01:51.838,1.06651,1.06649,0,0
15.09.2023 09:01:51.891,1.0665,1.06647,0,0
15.09.2023 09:01:51.994,1.0665,1.06646,0,0
15.09.2023 09:01:52.505,1.06649,1.06646,0,0
15.09.2023 09:01:52.608,1.0665,1.06646,0,0
15.09.2023 09:01:53.120,1.06649,1.06646,0,0
15.09.2023 09:01:59.318,1.06649,1.06647,0,0
15.09.2023 09:02:00.454,1.0665,1.06649,0,0
15.09.2023 09:02:00.558,1.06652,1.0665,0,0
15.09.2023 09:02:00.915,1.06654,1.06651,0,0
15.09.2023 09:02:01.576,1.06654,1.06652,0,0
15.09.2023 09:02:02.516,1.06655,1.06652,0,0
15.09.2023 09:02:02.681,1.06654,1.06652,0,0
15.09.2023 09:02:03.077,1.06655,1.06652,0,0
15.09.2023 09:02:04.877,1.06656,1.06652,0,0
15.09.2023 09:02:06.442,1.06654,1.06652,0,0
15.09.2023 09:02:07.788,1.06656,1.06652,0,0
15.09.2023 09:02:07.841,1.06654,1.06652,0,0
15.09.2023 09:02:07.944,1.06656,1.06652,0,0
15.09.2023 09:02:11.022,1.06655,1.06652,0,0
15.09.2023 09:02:16.912,1.06656,1.06655,0,0
15.09.2023 09:02:17.016,1.06656,1.06653,0,0
15.09.2023 09:02:20.283,1.06656,1.06654,0,0
15.09.2023 09:02:23.336,1.06654,1.06652,0,0
15.09.2023 09:02:23.544,1.06655,1.06654,0,0
15.09.2023 09:02:23.596,1.06657,1.06654,0,0
15.09.2023 09:02:27.639,1.06656,1.06654,0,0
15.09.2023 09:02:27.742,1.06657,1.06654,0,0
15.09.2023 09:02:29.408,1.06656,1.06654,0,0
15.09.2023 09:02:33.471,1.06656,1.06655,0,0
15.09.2023 09:02:33.576,1.06657,1.06656,0,0
15.09.2023 09:02:34.648,1.06658,1.06656,0,0
15.09.2023 09:02:35.132,1.06657,1.06656,0,0
15.09.2023 09:02:35.542,1.06657,1.06654,0,0
15.09.2023 09:02:35.646,1.06655,1.06654,0,0
15.09.2023 09:02:35.749,1.06654,1.06652,0,0
15.09.2023 09:02:40.019,1.06657,1.06655,0,0
15.09.2023 09:02:40.280,1.06659,1.06656,0,0
15.09.2023 09:02:41.093,1.06661,1.0666,0,0
15.09.2023 09:02:41.197,1.06662,1.0666,0,0
15.09.2023 09:02:41.710,1.0666,1.06659,0,0
15.09.2023 09:02:41.813,1.06661,1.06659,0,0
15.09.2023 09:02:41.916,1.0666,1.06659,0,0
15.09.2023 09:02:42.335,1.0666,1.06658,0,0
15.09.2023 09:02:42.439,1.06659,1.06658,0,0
15.09.2023 09:02:43.721,1.06659,1.06656,0,0
15.09.2023 09:02:43.825,1.06658,1.06656,0,0
15.09.2023 09:02:43.928,1.06659,1.06656,0,0
15.09.2023 09:02:50.610,1.06658,1.06656,0,0
15.09.2023 09:02:50.968,1.06659,1.06656,0,0
15.09.2023 09:02:51.071,1.06658,1.06656,0,0
15.09.2023 09:02:51.704,1.06659,1.06656,0,0
15.09.2023 09:02:52.587,1.06659,1.06657,0,0
15.09.2023 09:02:53.555,1.06659,1.06656,0,0
15.09.2023 09:02:55.210,1.06659,1.06657,0,0
15.09.2023 09:02:57.936,1.06658,1.06657,0,0
15.09.2023 09:02:58.039,1.06659,1.06657,0,0
15.09.2023 09:03:02.210,1.06658,1.06657,0,0
15.09.2023 09:03:02.597,1.06658,1.06656,0,0
15.09.2023 09:03:02.782,1.06658,1.06655,0,0
15.09.2023 09:03:02.884,1.06659,1.06656,0,0
15.09.2023 09:03:03.747,1.06659,1.06657,0,0
